Match ID,Archer 1 Name,Archer 2 Name,Archer 1 Score,Archer 2 Score,Archer 1 Xs,Archer 2 Xs,Archer 1 Target,Archer 2 Target,Archer 1 Riser,Archer 2 Riser,Winner,Year,Notes
1,John Demmer III,Wallace David Woodlief,112,108,2,1,3-spot,3-spot,Hoyt,Hoyt,John Demmer III,2024,Ordered from first match to last in every year. This is the first round
2,John Demmer III,Leo Pettersson,111,102,2,0,3-spot,1-spot,Hoyt,Hoyt,John Demmer III,2024,
3,John Demmer III,Kyle Coffey,108,98,1,0,3-spot,1-spot,Hoyt,Gillo,John Demmer III,2024,
4,John Demmer III,Nicholas Way,110,101,1,0,3-spot,1-spot,Hoyt,Hoyt,John Demmer III,2024,
5,John Demmer III,Simone Barbieri,112,113,4,4,3-spot,1-spot,Hoyt,Gillo,Simone Barbieri,2024,
5,Erik Jonsson,Simone Barbieri,107,103,2,1,1-spot,1-spot,Gillo,Gillo,Erik Jonsson,2024,
6,Erik Jonsson,Raymond Huang,116,116,3,4,1-spot,3-spot,Gillo,Hoyt,Raymond Huang,2024,One of Jonsson's 11s is actually a 12. Huang won 9-8 on tiebreakers
7,John Winker,Mike Ellis,111,99,4,2,1-spot,1-spot,Hoyt,CD,John Winker,2023,
8,John Winker,Tim Johnson,94,104,1,1,1-spot,1-spot,Hoyt,Hoyt,Tim Johnson,2023,
9,Michael Fisher,Tim Johnson,104,112,1,2,1-spot,1-spot,Gillo,Hoyt,Tim Johnson,2023,
10,Brian Way,Tim Johnson,107,107,0,3,1-spot,1-spot,Uukha,Hoyt,Tim Johnson,2023,
11,Matt Hudson,Tim Johnson,111,110,1,1,1-spot,1-spot,CD,Hoyt,Matt Hudson,2023,
12,Matt Hudson,Eric Johnson,106,108,0,1,1-spot,1-spot,CD,Gillo,Erik Jonsson,2023,
13,Jerid Mullis,Lee Wilkins,94,97,0,1,1-spot,1-spot,CD,CD,Lee Wilkins,2022,2022 had an extra match at the start
14,Paul Donahoo,Lee Wilkins,96,101,1,0,1-spot,1-spot,Hoyt,CD,Lee Wilkins,2022,
15,Leo Pettersson,Lee Wilkins,105,108,2,2,1-spot,1-spot,Gillo,CD,Lee Wilkins,2022,
16,Ryan Davis,Lee Wilkins,106,110,2,0,1-spot,1-spot,Gillo,CD,Lee Wilkins,2022,
17,Edward Krystofosky,Lee Wilkins,101,107,0,1,1-spot,1-spot,Spigarelli,CD,Lee Wilkins,2022,
18,Dewayne Martin,Lee Wilkins,107,98,2,0,1-spot,1-spot,CD,CD,Dewayne Martin,2022,
19,Dewayne Martin,John Demmer III,111,113,3,2,1-spot,1-spot,CD,Hoyt,John Demmer III,2022,
